title,author,rank,date,weeks_on
THE FOUR WINDS,Kristin Hannah,#1,"February 28, 2021",2
FAITHLESS IN DEATH,J.D. Robb,#2,"February 28, 2021",New
FIREFLY LANE,Kristin Hannah,#3,"February 28, 2021",4
RECKLESS ROAD,Christine Feehan,#4,"February 28, 2021",New
THE DUKE AND I,Julia Quinn,#5,"February 28, 2021",7
THE MIDNIGHT LIBRARY,Matt Haig,#6,"February 28, 2021",11
RAFAEL,Laurell K. Hamilton,#7,"February 28, 2021",New
THE SANATORIUM,Sarah Pearse,#8,"February 28, 2021",2
THE VISCOUNT WHO LOVED ME,Julia Quinn,#9,"February 28, 2021",7
THE VANISHING HALF,Brit Bennett,#10,"February 28, 2021",37
THE RUSSIAN,James Patterson and James O. Born,#11,"February 28, 2021",3
THE PARIS LIBRARY,Janet Skeslien Charles,#12,"February 28, 2021",New
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#13,"February 28, 2021",14
ROMANCING MISTER BRIDGERTON,Julia Quinn,#14,"February 28, 2021",5
WHERE THE CRAWDADS SING,Delia Owens,#15,"February 28, 2021",121
THE FOUR WINDS,Kristin Hannah,#1,"February 21, 2021",New
THE DUKE AND I,Julia Quinn,#2,"February 21, 2021",6
THE SURVIVORS,Jane Harper,#3,"February 21, 2021",New
SERPENTINE,Jonathan Kellerman,#4,"February 21, 2021",New
FIREFLY LANE,Kristin Hannah,#5,"February 21, 2021",3
THE VANISHING HALF,Brit Bennett,#6,"February 21, 2021",36
THE RUSSIAN,James Patterson and James O. Born,#7,"February 21, 2021",2
THE VISCOUNT WHO LOVED ME,Julia Quinn,#8,"February 21, 2021",6
THE SANATORIUM,Sarah Pearse,#9,"February 21, 2021",New
THE MIDNIGHT LIBRARY,Matt Haig,#10,"February 21, 2021",10
SEND FOR ME,Lauren Fox,#11,"February 21, 2021",New
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#12,"February 21, 2021",13
AN OFFER FROM A GENTLEMAN,Julia Quinn,#13,"February 21, 2021",2
WHERE THE CRAWDADS SING,Delia Owens,#14,"February 21, 2021",120
ANXIOUS PEOPLE,Fredrik Backman,#15,"February 21, 2021",22
THE RUSSIAN,James Patterson and James O. Born,#1,"February 14, 2021",New
THE DUKE AND I,Julia Quinn,#2,"February 14, 2021",5
THE VISCOUNT WHO LOVED ME,Julia Quinn,#3,"February 14, 2021",5
THE VANISHING HALF,Brit Bennett,#4,"February 14, 2021",35
THE MIDNIGHT LIBRARY,Matt Haig,#5,"February 14, 2021",9
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#6,"February 14, 2021",12
AN OFFER FROM A GENTLEMAN,Julia Quinn,#7,"February 14, 2021",New
THE PUSH,Ashley Audrain,#8,"February 14, 2021",2
ROMANCING MISTER BRIDGERTON,Julia Quinn,#9,"February 14, 2021",4
FIREFLY LANE,Kristin Hannah,#10,"February 14, 2021",2
ANXIOUS PEOPLE,Fredrik Backman,#11,"February 14, 2021",21
WHERE THE CRAWDADS SING,Delia Owens,#12,"February 14, 2021",119
HIGHLAND TREASURE,Lynsay Sands,#13,"February 14, 2021",New
PRODIGAL SON,Gregg Hurwitz,#14,"February 14, 2021",New
WHEN HE WAS WICKED,Julia Quinn,#15,"February 14, 2021",New
THE DUKE AND I,Julia Quinn,#1,"February 7, 2021",4
BEFORE SHE DISAPPEARED,Lisa Gardner,#2,"February 7, 2021",New
THE VANISHING HALF,Brit Bennett,#3,"February 7, 2021",34
THE MIDNIGHT LIBRARY,Matt Haig,#4,"February 7, 2021",8
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#5,"February 7, 2021",11
THE PUSH,Ashley Audrain,#6,"February 7, 2021",New
NEIGHBORS,Danielle Steel,#7,"February 7, 2021",3
WHERE THE CRAWDADS SING,Delia Owens,#8,"February 7, 2021",118
ANXIOUS PEOPLE,Fredrik Backman,#9,"February 7, 2021",20
FIREFLY LANE,Kristin Hannah,#10,"February 7, 2021",New
A TIME FOR MERCY,John Grisham,#11,"February 7, 2021",15
THE VISCOUNT WHO LOVED ME,Julia Quinn,#12,"February 7, 2021",4
THE SCORPION'S TAIL,Douglas Preston and Lincoln Child,#13,"February 7, 2021",2
NEWS OF THE WORLD,Paulette Jiles,#14,"February 7, 2021",New
THE DUTCH HOUSE,Ann Patchett,#15,"February 7, 2021",30
THE DUKE AND I,Julia Quinn,#1,"January 31, 2021",3
THE SCORPION'S TAIL,Douglas Preston and Lincoln Child,#2,"January 31, 2021",New
THE VANISHING HALF,Brit Bennett,#3,"January 31, 2021",33
THE MIDNIGHT LIBRARY,Matt Haig,#4,"January 31, 2021",7
BLOOD HEIR,Ilona Andrews,#5,"January 31, 2021",New
THE VISCOUNT WHO LOVED ME,Julia Quinn,#6,"January 31, 2021",3
ROMANCING MISTER BRIDGERTON,Julia Quinn,#7,"January 31, 2021",3
DAYLIGHT,David Baldacci,#8,"January 31, 2021",7
NEIGHBORS,Danielle Steel,#9,"January 31, 2021",2
STAR WARS: LIGHT OF THE JEDI,Charles Soule,#10,"January 31, 2021",2
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#11,"January 31, 2021",10
ANXIOUS PEOPLE,Fredrik Backman,#12,"January 31, 2021",19
WHERE THE CRAWDADS SING,Delia Owens,#13,"January 31, 2021",117
A TIME FOR MERCY,John Grisham,#14,"January 31, 2021",14
ROBERT B. PARKER'S SOMEONE TO WATCH OVER ME,Ace Atkins,#15,"January 31, 2021",New
THE DUKE AND I,Julia Quinn,#1,"January 24, 2021",2
STAR WARS: LIGHT OF THE JEDI,Charles Soule,#2,"January 24, 2021",New
NEIGHBORS,Danielle Steel,#3,"January 24, 2021",New
THE VANISHING HALF,Brit Bennett,#4,"January 24, 2021",32
THE VISCOUNT WHO LOVED ME,Julia Quinn,#5,"January 24, 2021",2
THE WIFE UPSTAIRS,Rachel Hawkins,#6,"January 24, 2021",New
ROMANCING MISTER BRIDGERTON,Julia Quinn,#7,"January 24, 2021",2
WHERE THE CRAWDADS SING,Delia Owens,#8,"January 24, 2021",116
A TIME FOR MERCY,John Grisham,#9,"January 24, 2021",13
OUTLAWED,Anna North,#10,"January 24, 2021",New
THE MIDNIGHT LIBRARY,Matt Haig,#11,"January 24, 2021",6
ANXIOUS PEOPLE,Fredrik Backman,#12,"January 24, 2021",18
ALL THE COLORS OF NIGHT,Jayne Ann Krentz,#13,"January 24, 2021",New
AMERICAN TRAITOR,Brad Taylor,#14,"January 24, 2021",New
THE PROPHETS,Robert Jones Jr.,#15,"January 24, 2021",New
THE DUKE AND I,Julia Quinn,#1,"January 17, 2021",New
THE VANISHING HALF,Brit Bennett,#2,"January 17, 2021",31
HUSH-HUSH,Stuart Woods,#3,"January 17, 2021",New
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#4,"January 17, 2021",9
THE LAW OF INNOCENCE,Michael Connelly,#5,"January 17, 2021",8
A TIME FOR MERCY,John Grisham,#6,"January 17, 2021",12
THE VISCOUNT WHO LOVED ME,Julia Quinn,#7,"January 17, 2021",New
ANXIOUS PEOPLE,Fredrik Backman,#8,"January 17, 2021",17
AMERICAN DIRT,Jeanine Cummins,#9,"January 17, 2021",37
THE RETURN,Nicholas Sparks,#10,"January 17, 2021",14
THE MIDNIGHT LIBRARY,Matt Haig,#11,"January 17, 2021",5
THE GUEST LIST,Lucy Foley,#12,"January 17, 2021",21
ROMANCING MISTER BRIDGERTON,Julia Quinn,#13,"January 17, 2021",New
READY PLAYER TWO,Ernest Cline,#14,"January 17, 2021",6
THE MYSTERY OF MRS. CHRISTIE,Marie Benedict,#15,"January 17, 2021",New
A TIME FOR MERCY,John Grisham,#1,"January 10, 2021",11
THE VANISHING HALF,Brit Bennett,#2,"January 10, 2021",30
READY PLAYER TWO,Ernest Cline,#3,"January 10, 2021",5
DEADLY CROSS,James Patterson,#4,"January 10, 2021",5
THE RETURN,Nicholas Sparks,#5,"January 10, 2021",13
THE GUEST LIST,Lucy Foley,#6,"January 10, 2021",20
WHERE THE CRAWDADS SING,Delia Owens,#7,"January 10, 2021",115
HOME BODY,Rupi Kaur,#8,"January 10, 2021",6
DAYLIGHT,David Baldacci,#9,"January 10, 2021",6
THE SENTINEL,Lee Child and Andrew Child,#10,"January 10, 2021",9
ANXIOUS PEOPLE,Fredrik Backman,#11,"January 10, 2021",16
THE AWAKENING,Nora Roberts,#12,"January 10, 2021",5
THE LAW OF INNOCENCE,Michael Connelly,#13,"January 10, 2021",7
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#14,"January 10, 2021",8
IF IT BLEEDS,Stephen King,#15,"January 10, 2021",10
A TIME FOR MERCY,John Grisham,#1,"January 3, 2021",10
DEADLY CROSS,James Patterson,#2,"January 3, 2021",4
READY PLAYER TWO,Ernest Cline,#3,"January 3, 2021",4
THE VANISHING HALF,Brit Bennett,#4,"January 3, 2021",29
THE RETURN,Nicholas Sparks,#5,"January 3, 2021",12
DAYLIGHT,David Baldacci,#6,"January 3, 2021",5
WHERE THE CRAWDADS SING,Delia Owens,#7,"January 3, 2021",114
HOME BODY,Rupi Kaur,#8,"January 3, 2021",5
THE SENTINEL,Lee Child and Andrew Child,#9,"January 3, 2021",8
THE LAW OF INNOCENCE,Michael Connelly,#10,"January 3, 2021",6
THE MIDNIGHT LIBRARY,Matt Haig,#11,"January 3, 2021",4
THE AWAKENING,Nora Roberts,#12,"January 3, 2021",4
NYPD RED 6,James Patterson and Marshall Karp,#13,"January 3, 2021",New
FORTUNE AND GLORY,Janet Evanovich,#14,"January 3, 2021",7
ANXIOUS PEOPLE,Fredrik Backman,#15,"January 3, 2021",15
READY PLAYER TWO,Ernest Cline,#1,"December 27, 2020",3
A TIME FOR MERCY,John Grisham,#2,"December 27, 2020",9
DEADLY CROSS,James Patterson,#3,"December 27, 2020",3
THE VANISHING HALF,Brit Bennett,#4,"December 27, 2020",28
THE RETURN,Nicholas Sparks,#5,"December 27, 2020",11
DAYLIGHT,David Baldacci,#6,"December 27, 2020",4
THE LAW OF INNOCENCE,Michael Connelly,#7,"December 27, 2020",5
THE SENTINEL,Lee Child and Andrew Child,#8,"December 27, 2020",7
THE AWAKENING,Nora Roberts,#9,"December 27, 2020",3
HOME BODY,Rupi Kaur,#10,"December 27, 2020",4
WHERE THE CRAWDADS SING,Delia Owens,#11,"December 27, 2020",113
FORTUNE AND GLORY,Janet Evanovich,#12,"December 27, 2020",6
THE MIDNIGHT LIBRARY,Matt Haig,#13,"December 27, 2020",3
ANXIOUS PEOPLE,Fredrik Backman,#14,"December 27, 2020",14
RHYTHM OF WAR,Brandon Sanderson,#15,"December 27, 2020",4
READY PLAYER TWO,Ernest Cline,#1,"December 20, 2020",2
A TIME FOR MERCY,John Grisham,#2,"December 20, 2020",8
DEADLY CROSS,James Patterson,#3,"December 20, 2020",2
THE RETURN,Nicholas Sparks,#4,"December 20, 2020",10
DAYLIGHT,David Baldacci,#5,"December 20, 2020",3
AMERICAN DIRT,Jeanine Cummins,#6,"December 20, 2020",36
THE VANISHING HALF,Brit Bennett,#7,"December 20, 2020",27
THE LAW OF INNOCENCE,Michael Connelly,#8,"December 20, 2020",4
THE SENTINEL,Lee Child and Andrew Child,#9,"December 20, 2020",6
THE AWAKENING,Nora Roberts,#10,"December 20, 2020",2
HOME BODY,Rupi Kaur,#11,"December 20, 2020",3
RHYTHM OF WAR,Brandon Sanderson,#12,"December 20, 2020",3
FORTUNE AND GLORY,Janet Evanovich,#13,"December 20, 2020",5
ANXIOUS PEOPLE,Fredrik Backman,#14,"December 20, 2020",13
WHERE THE CRAWDADS SING,Delia Owens,#15,"December 20, 2020",112
READY PLAYER TWO,Ernest Cline,#1,"December 13, 2020",New
DEADLY CROSS,James Patterson,#2,"December 13, 2020",New
THE AWAKENING,Nora Roberts,#3,"December 13, 2020",New
THE RETURN,Nicholas Sparks,#4,"December 13, 2020",9
DAYLIGHT,David Baldacci,#5,"December 13, 2020",2
A TIME FOR MERCY,John Grisham,#6,"December 13, 2020",7
THE LAW OF INNOCENCE,Michael Connelly,#7,"December 13, 2020",3
RHYTHM OF WAR,Brandon Sanderson,#8,"December 13, 2020",2
HOME BODY,Rupi Kaur,#9,"December 13, 2020",2
THE SENTINEL,Lee Child and Andrew Child,#10,"December 13, 2020",5
THE VANISHING HALF,Brit Bennett,#11,"December 13, 2020",26
FORTUNE AND GLORY,Janet Evanovich,#12,"December 13, 2020",4
ANXIOUS PEOPLE,Fredrik Backman,#13,"December 13, 2020",12
WAR LORD,Bernard Cornwell,#14,"December 13, 2020",New
ARCHANGEL'S SUN,Nalini Singh,#15,"December 13, 2020",New
RHYTHM OF WAR,Brandon Sanderson,#1,"December 6, 2020",New
DAYLIGHT,David Baldacci,#2,"December 6, 2020",New
HOME BODY,Rupi Kaur,#3,"December 6, 2020",New
THE LAW OF INNOCENCE,Michael Connelly,#4,"December 6, 2020",2
A TIME FOR MERCY,John Grisham,#5,"December 6, 2020",6
ALL THAT GLITTERS,Danielle Steel,#6,"December 6, 2020",New
TOM CLANCY: SHADOW OF THE DRAGON,Marc Cameron,#7,"December 6, 2020",New
THE SENTINEL,Lee Child and Andrew Child,#8,"December 6, 2020",4
THE RETURN,Nicholas Sparks,#9,"December 6, 2020",8
FORTUNE AND GLORY,Janet Evanovich,#10,"December 6, 2020",3
PIECE OF MY HEART,Mary Higgins Clark and Alafair Burke,#11,"December 6, 2020",New
THE VANISHING HALF,Brit Bennett,#12,"December 6, 2020",25
ANXIOUS PEOPLE,Fredrik Backman,#13,"December 6, 2020",11
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#14,"December 6, 2020",7
THE EVENING AND THE MORNING,Ken Follett,#15,"December 6, 2020",10
THE LAW OF INNOCENCE,Michael Connelly,#1,"November 29, 2020",New
A TIME FOR MERCY,John Grisham,#2,"November 29, 2020",5
THE SENTINEL,Lee Child and Andrew Child,#3,"November 29, 2020",3
MARAUDER,Clive Cussler and Boyd Morrison,#4,"November 29, 2020",New
FORTUNE AND GLORY,Janet Evanovich,#5,"November 29, 2020",2
I WOULD LEAVE ME IF I COULD,Halsey,#6,"November 29, 2020",New
THE RETURN,Nicholas Sparks,#7,"November 29, 2020",7
LEOPARD'S RAGE,Christine Feehan,#8,"November 29, 2020",New
MOONFLOWER MURDERS,Anthony Horowitz,#9,"November 29, 2020",New
ANXIOUS PEOPLE,Fredrik Backman,#10,"November 29, 2020",10
THE VANISHING HALF,Brit Bennett,#11,"November 29, 2020",24
THE EVENING AND THE MORNING,Ken Follett,#12,"November 29, 2020",9
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#13,"November 29, 2020",6
THE SEARCHER,Tana French,#14,"November 29, 2020",6
WHERE THE CRAWDADS SING,Delia Owens,#15,"November 29, 2020",111
FORTUNE AND GLORY,Janet Evanovich,#1,"November 22, 2020",New
A TIME FOR MERCY,John Grisham,#2,"November 22, 2020",4
THE SENTINEL,Lee Child and Andrew Child,#3,"November 22, 2020",2
THE RETURN,Nicholas Sparks,#4,"November 22, 2020",6
THE EVENING AND THE MORNING,Ken Follett,#5,"November 22, 2020",8
THE SEARCHER,Tana French,#6,"November 22, 2020",5
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#7,"November 22, 2020",5
THE VANISHING HALF,Brit Bennett,#8,"November 22, 2020",23
WHITE IVY,Susie Yang,#9,"November 22, 2020",New
ANXIOUS PEOPLE,Fredrik Backman,#10,"November 22, 2020",9
THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,#11,"November 22, 2020",2
THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,#12,"November 22, 2020",2
THE BOOK OF TWO WAYS,Jodi Picoult,#13,"November 22, 2020",6
THE DIRTY SOUTH,John Connolly,#14,"November 22, 2020",New
HIDDEN IN PLAIN SIGHT,Jeffrey Archer,#15,"November 22, 2020",New
THE SENTINEL,Lee Child and Andrew Child,#1,"November 15, 2020",New
A TIME FOR MERCY,John Grisham,#2,"November 15, 2020",3
THE RETURN,Nicholas Sparks,#3,"November 15, 2020",5
THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,#4,"November 15, 2020",New
SHAKEUP,Stuart Woods,#5,"November 15, 2020",New
THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,#6,"November 15, 2020",New
THE SEARCHER,Tana French,#7,"November 15, 2020",4
"TRULY, MADLY, DEEPLY",Karen Kingsbury,#8,"November 15, 2020",New
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#9,"November 15, 2020",4
THE EVENING AND THE MORNING,Ken Follett,#10,"November 15, 2020",7
THE NOEL LETTERS,Richard Paul Evans,#11,"November 15, 2020",New
ANXIOUS PEOPLE,Fredrik Backman,#12,"November 15, 2020",8
THE VANISHING HALF,Brit Bennett,#13,"November 15, 2020",22
MY LAST DUCHESS,Eloisa James,#14,"November 15, 2020",New
TROUBLES IN PARADISE,Elin Hilderbrand,#15,"November 15, 2020",4
A TIME FOR MERCY,John Grisham,#1,"November 8, 2020",2
THE RETURN,Nicholas Sparks,#2,"November 8, 2020",4
THE SEARCHER,Tana French,#3,"November 8, 2020",3
THE EVENING AND THE MORNING,Ken Follett,#4,"November 8, 2020",6
ANXIOUS PEOPLE,Fredrik Backman,#5,"November 8, 2020",7
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#6,"November 8, 2020",3
MEXICAN GOTHIC,Silvia Moreno-Garcia,#7,"November 8, 2020",3
TROUBLES IN PARADISE,Elin Hilderbrand,#8,"November 8, 2020",3
THE BOOK OF TWO WAYS,Jodi Picoult,#9,"November 8, 2020",5
THE VANISHING HALF,Brit Bennett,#10,"November 8, 2020",21
