title,author,rank,date,weeks_on
TOM CLANCY: FIRING POINT,Mike Maden,#15,"July 12, 2020",2
28 SUMMERS,Elin Hilderbrand,#1,"July 5, 2020",New
WHERE THE CRAWDADS SING,Delia Owens,#2,"July 5, 2020",93
CAMINO WINDS,John Grisham,#3,"July 5, 2020",8
THE VANISHING HALF,Brit Bennett,#4,"July 5, 2020",3
THE SUMMER HOUSE,James Patterson and Brendan DuBois,#5,"July 5, 2020",2
LITTLE FIRES EVERYWHERE,Celeste Ng,#6,"July 5, 2020",71
FAIR WARNING,Michael Connelly,#7,"July 5, 2020",4
AMERICAN DEMON,Kim Harrison,#8,"July 5, 2020",New
THE GUARDIANS,John Grisham,#9,"July 5, 2020",20
THE GUEST LIST,Lucy Foley,#10,"July 5, 2020",3
DEACON KING KONG,James McBride,#11,"July 5, 2020",New
DEVOLUTION,Max Brooks,#12,"July 5, 2020",New
IF IT BLEEDS,Stephen King,#13,"July 5, 2020",9
HIDEAWAY,Nora Roberts,#14,"July 5, 2020",4
AMERICAN DIRT,Jeanine Cummins,#15,"July 5, 2020",22
THE SUMMER HOUSE,James Patterson and Brendan DuBois,#1,"June 28, 2020",New
DADDY'S GIRLS,Danielle Steel,#2,"June 28, 2020",New
TOM CLANCY: FIRING POINT,Mike Maden,#3,"June 28, 2020",New
WHERE THE CRAWDADS SING,Delia Owens,#4,"June 28, 2020",92
THE VANISHING HALF,Brit Bennett,#5,"June 28, 2020",2
CAMINO WINDS,John Grisham,#6,"June 28, 2020",7
FAIR WARNING,Michael Connelly,#7,"June 28, 2020",3
HIDEAWAY,Nora Roberts,#8,"June 28, 2020",3
THE GUEST LIST,Lucy Foley,#9,"June 28, 2020",2
LITTLE FIRES EVERYWHERE,Celeste Ng,#10,"June 28, 2020",70
IF IT BLEEDS,Stephen King,#11,"June 28, 2020",8
BIG SUMMER,Jennifer Weiner,#12,"June 28, 2020",6
AMERICAN DIRT,Jeanine Cummins,#13,"June 28, 2020",21
WALK THE WIRE,David Baldacci,#14,"June 28, 2020",8
DANCE AWAY WITH ME,Susan Elizabeth Phillips,#15,"June 28, 2020",New
THE VANISHING HALF,Brit Bennett,#1,"June 21, 2020",New
THE GUEST LIST,Lucy Foley,#2,"June 21, 2020",New
WHERE THE CRAWDADS SING,Delia Owens,#3,"June 21, 2020",91
THE LIES THAT BIND,Emily Giffin,#4,"June 21, 2020",New
HIDEAWAY,Nora Roberts,#5,"June 21, 2020",2
CAMINO WINDS,John Grisham,#6,"June 21, 2020",6
FAIR WARNING,Michael Connelly,#7,"June 21, 2020",2
LITTLE FIRES EVERYWHERE,Celeste Ng,#8,"June 21, 2020",69
BIG SUMMER,Jennifer Weiner,#9,"June 21, 2020",5
IF IT BLEEDS,Stephen King,#10,"June 21, 2020",7
HUSH,James Patterson and Candice Fox,#11,"June 21, 2020",New
AMERICAN DIRT,Jeanine Cummins,#12,"June 21, 2020",20
WALK THE WIRE,David Baldacci,#13,"June 21, 2020",7
NORMAL PEOPLE,Sally Rooney,#14,"June 21, 2020",10
ALL ADULTS HERE,Emma Straub,#15,"June 21, 2020",5
HIDEAWAY,Nora Roberts,#1,"June 14, 2020",New
FAIR WARNING,Michael Connelly,#2,"June 14, 2020",New
WHERE THE CRAWDADS SING,Delia Owens,#3,"June 14, 2020",90
CAMINO WINDS,John Grisham,#4,"June 14, 2020",5
LITTLE FIRES EVERYWHERE,Celeste Ng,#5,"June 14, 2020",68
BIG SUMMER,Jennifer Weiner,#6,"June 14, 2020",4
NORMAL PEOPLE,Sally Rooney,#7,"June 14, 2020",9
AMERICAN DIRT,Jeanine Cummins,#8,"June 14, 2020",19
WRATH OF POSEIDON,Clive Cussler and Robin Burcell,#9,"June 14, 2020",New
WALK THE WIRE,David Baldacci,#10,"June 14, 2020",6
IF IT BLEEDS,Stephen King,#11,"June 14, 2020",6
BOMBSHELL,Stuart Woods and Parnell Hall,#12,"June 14, 2020",New
ALL ADULTS HERE,Emma Straub,#13,"June 14, 2020",4
THE 20TH VICTIM,James Patterson and Maxine Paetro,#14,"June 14, 2020",4
THE HENNA ARTIST,Alka Joshi,#15,"June 14, 2020",New
CAMINO WINDS,John Grisham,#1,"June 7, 2020",4
WHERE THE CRAWDADS SING,Delia Owens,#2,"June 7, 2020",89
LITTLE FIRES EVERYWHERE,Celeste Ng,#3,"June 7, 2020",67
NORMAL PEOPLE,Sally Rooney,#4,"June 7, 2020",8
BIG SUMMER,Jennifer Weiner,#5,"June 7, 2020",3
IF IT BLEEDS,Stephen King,#6,"June 7, 2020",5
WALK THE WIRE,David Baldacci,#7,"June 7, 2020",5
THE 20TH VICTIM,James Patterson and Maxine Paetro,#8,"June 7, 2020",3
ON OCEAN BOULEVARD,Mary Alice Monroe,#9,"June 7, 2020",New
AMERICAN DIRT,Jeanine Cummins,#10,"June 7, 2020",18
THE LAST TRIAL,Scott Turow,#11,"June 7, 2020",2
BEACH READ,Emily Henry,#12,"June 7, 2020",New
RODHAM,Curtis Sittenfeld,#13,"June 7, 2020",New
ALL ADULTS HERE,Emma Straub,#14,"June 7, 2020",3
A WEEK AT THE SHORE,Barbara Delinsky,#15,"June 7, 2020",New
CAMINO WINDS,John Grisham,#1,"May 31, 2020",3
WHERE THE CRAWDADS SING,Delia Owens,#2,"May 31, 2020",88
LITTLE FIRES EVERYWHERE,Celeste Ng,#3,"May 31, 2020",66
IF IT BLEEDS,Stephen King,#4,"May 31, 2020",4
WALK THE WIRE,David Baldacci,#5,"May 31, 2020",4
THE 20TH VICTIM,James Patterson and Maxine Paetro,#6,"May 31, 2020",2
NORMAL PEOPLE,Sally Rooney,#7,"May 31, 2020",7
THE LAST TRIAL,Scott Turow,#8,"May 31, 2020",New
BIG SUMMER,Jennifer Weiner,#9,"May 31, 2020",2
AMERICAN DIRT,Jeanine Cummins,#10,"May 31, 2020",17
BLUE MOON,Lee Child,#11,"May 31, 2020",13
ALL ADULTS HERE,Emma Straub,#12,"May 31, 2020",2
THE BOOK OF LOST FRIENDS,Lisa Wingate,#13,"May 31, 2020",2
THE WOMAN IN THE WINDOW,A.J. Finn,#14,"May 31, 2020",31
THE SILENT PATIENT,Alex Michaelides,#15,"May 31, 2020",34
THE 20TH VICTIM,James Patterson and Maxine Paetro,#1,"May 24, 2020",New
CAMINO WINDS,John Grisham,#2,"May 24, 2020",2
LITTLE FIRES EVERYWHERE,Celeste Ng,#3,"May 24, 2020",65
WHERE THE CRAWDADS SING,Delia Owens,#4,"May 24, 2020",87
IF IT BLEEDS,Stephen King,#5,"May 24, 2020",3
SHADOW FLIGHT,Christine Feehan,#6,"May 24, 2020",New
BIG SUMMER,Jennifer Weiner,#7,"May 24, 2020",New
WALK THE WIRE,David Baldacci,#8,"May 24, 2020",3
ALL ADULTS HERE,Emma Straub,#9,"May 24, 2020",New
NORMAL PEOPLE,Sally Rooney,#10,"May 24, 2020",6
"HELLO, SUMMER",Mary Kay Andrews,#11,"May 24, 2020",New
AMERICAN DIRT,Jeanine Cummins,#12,"May 24, 2020",16
BLUE MOON,Lee Child,#13,"May 24, 2020",12
NETWORK EFFECT,Martha Wells,#14,"May 24, 2020",New
THE BOOK OF LONGINGS,Sue Monk Kidd,#15,"May 24, 2020",3
CAMINO WINDS,John Grisham,#1,"May 17, 2020",New
IF IT BLEEDS,Stephen King,#2,"May 17, 2020",2
LITTLE FIRES EVERYWHERE,Celeste Ng,#3,"May 17, 2020",64
WHERE THE CRAWDADS SING,Delia Owens,#4,"May 17, 2020",86
WALK THE WIRE,David Baldacci,#5,"May 17, 2020",2
THE WEDDING DRESS,Danielle Steel,#6,"May 17, 2020",New
NORMAL PEOPLE,Sally Rooney,#7,"May 17, 2020",5
AMERICAN DIRT,Jeanine Cummins,#8,"May 17, 2020",15
THE BOOK OF LONGINGS,Sue Monk Kidd,#9,"May 17, 2020",2
MASKED PREY,John Sandford,#10,"May 17, 2020",3
THE WOMAN IN THE WINDOW,A.J. Finn,#11,"May 17, 2020",30
THE END OF OCTOBER,Lawrence Wright,#12,"May 17, 2020",New
THE SILENT PATIENT,Alex Michaelides,#13,"May 17, 2020",33
BLUE MOON,Lee Child,#14,"May 17, 2020",11
THE GIVER OF STARS,Jojo Moyes,#15,"May 17, 2020",25
WALK THE WIRE,David Baldacci,#1,"May 10, 2020",New
IF IT BLEEDS,Stephen King,#2,"May 10, 2020",New
LITTLE FIRES EVERYWHERE,Celeste Ng,#3,"May 10, 2020",63
WHERE THE CRAWDADS SING,Delia Owens,#4,"May 10, 2020",85
MASKED PREY,John Sandford,#5,"May 10, 2020",2
AMERICAN DIRT,Jeanine Cummins,#6,"May 10, 2020",14
THE BOOK OF LONGINGS,Sue Monk Kidd,#7,"May 10, 2020",New
FIRST COMES SCANDAL,Julia Quinn,#8,"May 10, 2020",New
THE WOMAN IN THE WINDOW,A.J. Finn,#9,"May 10, 2020",29
THE SILENT PATIENT,Alex Michaelides,#10,"May 10, 2020",32
THE GIVER OF STARS,Jojo Moyes,#11,"May 10, 2020",24
IN FIVE YEARS,Rebecca Serle,#12,"May 10, 2020",6
THE BOY FROM THE WOODS,Harlan Coben,#13,"May 10, 2020",6
NORMAL PEOPLE,Sally Rooney,#14,"May 10, 2020",4
THE DUTCH HOUSE,Ann Patchett,#15,"May 10, 2020",29
MASKED PREY,John Sandford,#1,"May 3, 2020",New
LITTLE FIRES EVERYWHERE,Celeste Ng,#2,"May 3, 2020",62
WHERE THE CRAWDADS SING,Delia Owens,#3,"May 3, 2020",84
AMERICAN DIRT,Jeanine Cummins,#4,"May 3, 2020",13
THE SILENT PATIENT,Alex Michaelides,#5,"May 3, 2020",31
THE LAST EMPEROX,John Scalzi,#6,"May 3, 2020",New
THE BOY FROM THE WOODS,Harlan Coben,#7,"May 3, 2020",5
THE WOMAN IN THE WINDOW,A.J. Finn,#8,"May 3, 2020",28
THE TATTOOIST OF AUSCHWITZ,Heather Morris,#9,"May 3, 2020",70
SAVAGE SON,Jack Carr,#10,"May 3, 2020",New
IN FIVE YEARS,Rebecca Serle,#11,"May 3, 2020",5
THE GIVER OF STARS,Jojo Moyes,#12,"May 3, 2020",23
THE DUTCH HOUSE,Ann Patchett,#13,"May 3, 2020",28
THE GLASS HOTEL,Emily St. John Mandel,#14,"May 3, 2020",4
REDHEAD BY THE SIDE OF THE ROAD,Anne Tyler,#15,"May 3, 2020",2
LITTLE FIRES EVERYWHERE,Celeste Ng,#1,"April 26, 2020",61
WHERE THE CRAWDADS SING,Delia Owens,#2,"April 26, 2020",83
AMERICAN DIRT,Jeanine Cummins,#3,"April 26, 2020",12
THE BOY FROM THE WOODS,Harlan Coben,#4,"April 26, 2020",4
REDHEAD BY THE SIDE OF THE ROAD,Anne Tyler,#5,"April 26, 2020",New
REVENGE,James Patterson and Andrew Holmes,#6,"April 26, 2020",New
THE SILENT PATIENT,Alex Michaelides,#7,"April 26, 2020",30
THE WOMAN IN THE WINDOW,A.J. Finn,#8,"April 26, 2020",27
EVERYTHING I NEVER TOLD YOU,Celeste Ng,#9,"April 26, 2020",2
THE BOOK OF LOST FRIENDS,Lisa Wingate,#10,"April 26, 2020",New
THE GIVER OF STARS,Jojo Moyes,#11,"April 26, 2020",22
THE GLASS HOTEL,Emily St. John Mandel,#12,"April 26, 2020",3
THE DUTCH HOUSE,Ann Patchett,#13,"April 26, 2020",27
VALENTINE,Elizabeth Wetmore,#14,"April 26, 2020",2
TEXAS OUTLAW,James Patterson and Andrew Bourelle,#15,"April 26, 2020",2
LITTLE FIRES EVERYWHERE,Celeste Ng,#1,"April 19, 2020",60
WHERE THE CRAWDADS SING,Delia Owens,#2,"April 19, 2020",82
VALENTINE,Elizabeth Wetmore,#3,"April 19, 2020",New
TEXAS OUTLAW,James Patterson and Andrew Bourelle,#4,"April 19, 2020",New
THE BOY FROM THE WOODS,Harlan Coben,#5,"April 19, 2020",3
AMERICAN DIRT,Jeanine Cummins,#6,"April 19, 2020",11
THE SILENT PATIENT,Alex Michaelides,#7,"April 19, 2020",29
THE GIVER OF STARS,Jojo Moyes,#8,"April 19, 2020",21
IN FIVE YEARS,Rebecca Serle,#9,"April 19, 2020",4
THE DUTCH HOUSE,Ann Patchett,#10,"April 19, 2020",26
THE GLASS HOTEL,Emily St. John Mandel,#11,"April 19, 2020",2
NORMAL PEOPLE,Sally Rooney,#12,"April 19, 2020",3
THE MIRROR & THE LIGHT,Hilary Mantel,#13,"April 19, 2020",4
FATE,Helen Hardt,#14,"April 19, 2020",New
THE NIGHT WATCHMAN,Louise Erdrich,#15,"April 19, 2020",New
LITTLE FIRES EVERYWHERE,Celeste Ng,#1,"April 12, 2020",59
WHERE THE CRAWDADS SING,Delia Owens,#2,"April 12, 2020",81
THE BOY FROM THE WOODS,Harlan Coben,#3,"April 12, 2020",2
THE SINNER,J.R. Ward,#4,"April 12, 2020",New
THE LAST ODYSSEY,James Rollins,#5,"April 12, 2020",New
IN FIVE YEARS,Rebecca Serle,#6,"April 12, 2020",3
AMERICAN DIRT,Jeanine Cummins,#7,"April 12, 2020",10
THE GLASS HOTEL,Emily St. John Mandel,#8,"April 12, 2020",New
THEN SHE WAS GONE,Lisa Jewell,#9,"April 12, 2020",2
THE SILENT PATIENT,Alex Michaelides,#10,"April 12, 2020",28
THE TATTOOIST OF AUSCHWITZ,Heather Morris,#11,"April 12, 2020",69
THE MIRROR & THE LIGHT,Hilary Mantel,#12,"April 12, 2020",3
THE CITY WE BECAME,N.K. Jemisin,#13,"April 12, 2020",New
LONG RANGE,C.J. Box,#14,"April 12, 2020",4
THE DUTCH HOUSE,Ann Patchett,#15,"April 12, 2020",25
THE BOY FROM THE WOODS,Harlan Coben,#1,"April 5, 2020",New
LITTLE FIRES EVERYWHERE,Celeste Ng,#2,"April 5, 2020",58
SMOKE BITTEN,Patricia Briggs,#3,"April 5, 2020",New
WHERE THE CRAWDADS SING,Delia Owens,#4,"April 5, 2020",80
HIT LIST,Stuart Woods,#5,"April 5, 2020",New
AMERICAN DIRT,Jeanine Cummins,#6,"April 5, 2020",9
IN FIVE YEARS,Rebecca Serle,#7,"April 5, 2020",2
THE MIRROR & THE LIGHT,Hilary Mantel,#8,"April 5, 2020",2
STAR WARS: THE RISE OF SKYWALKER,Rae Carson,#9,"April 5, 2020",New
A CONSPIRACY OF BONES,Kathy Reichs,#10,"April 5, 2020",New
BLINDSIDE,James Patterson and James O. Born,#11,"April 5, 2020",4
LONG RANGE,C.J. Box,#12,"April 5, 2020",3
THE SILENT PATIENT,Alex Michaelides,#13,"April 5, 2020",27
JOURNEY OF THE PHARAOHS,Clive Cussler and Graham Brown,#14,"April 5, 2020",2
THE TATTOOIST OF AUSCHWITZ,Heather Morris,#15,"April 5, 2020",68
THE MIRROR & THE LIGHT,Hilary Mantel,#1,"March 29, 2020",New
JOURNEY OF THE PHARAOHS,Clive Cussler and Graham Brown,#2,"March 29, 2020",New
WHERE THE CRAWDADS SING,Delia Owens,#3,"March 29, 2020",79
AMERICAN DIRT,Jeanine Cummins,#4,"March 29, 2020",8
LITTLE FIRES EVERYWHERE,Celeste Ng,#5,"March 29, 2020",57
LONG RANGE,C.J. Box,#6,"March 29, 2020",2
MY DARK VANESSA,Kate Elizabeth Russell,#7,"March 29, 2020",New
A GOOD NEIGHBORHOOD,Therese Anne Fowler,#8,"March 29, 2020",New
HOUSE OF EARTH AND BLOOD,Sarah J. Maas,#9,"March 29, 2020",2
IN FIVE YEARS,Rebecca Serle,#10,"March 29, 2020",New
BLINDSIDE,James Patterson and James O. Born,#11,"March 29, 2020",3
THE NUMBERS GAME,Danielle Steel,#12,"March 29, 2020",2
THE SILENT PATIENT,Alex Michaelides,#13,"March 29, 2020",26
THE TATTOOIST OF AUSCHWITZ,Heather Morris,#14,"March 29, 2020",67
THE GIVER OF STARS,Jojo Moyes,#15,"March 29, 2020",20
HOUSE OF EARTH AND BLOOD,Sarah J. Maas,#1,"March 22, 2020",New
LONG RANGE,C.J. Box,#2,"March 22, 2020",New
THE NUMBERS GAME,Danielle Steel,#3,"March 22, 2020",New
AMERICAN DIRT,Jeanine Cummins,#4,"March 22, 2020",7
WHERE THE CRAWDADS SING,Delia Owens,#5,"March 22, 2020",78
BLINDSIDE,James Patterson and James O. Born,#6,"March 22, 2020",2
LETHAL GAME,Christine Feehan,#7,"March 22, 2020",New
LITTLE FIRES EVERYWHERE,Celeste Ng,#8,"March 22, 2020",56
YOU ARE NOT ALONE,Greer Hendricks and Sarah Pekkanen,#9,"March 22, 2020",New
TRACE ELEMENTS,Donna Leon,#10,"March 22, 2020",New
THE SILENT PATIENT,Alex Michaelides,#11,"March 22, 2020",25
WRITERS & LOVERS,Lily King,#12,"March 22, 2020",New
THE JETSETTERS,Amanda Eyre Ward,#13,"March 22, 2020",New
THE DUTCH HOUSE,Ann Patchett,#14,"March 22, 2020",24
NORMAL PEOPLE,Sally Rooney,#15,"March 22, 2020",2
BLINDSIDE,James Patterson and James O. Born,#1,"March 15, 2020",New
THE WARSAW PROTOCOL,Steve Berry,#2,"March 15, 2020",New
AMERICAN DIRT,Jeanine Cummins,#3,"March 15, 2020",6
WHERE THE CRAWDADS SING,Delia Owens,#4,"March 15, 2020",77
LITTLE FIRES EVERYWHERE,Celeste Ng,#5,"March 15, 2020",55
COCONUT LAYER CAKE MURDER,Joanne Fluke,#6,"March 15, 2020",New
THE LAST WISH,Andrzej Sapkowski,#7,"March 15, 2020",9
THE SILENT PATIENT,Alex Michaelides,#8,"March 15, 2020",24
THE DUTCH HOUSE,Ann Patchett,#9,"March 15, 2020",23
THE GIVER OF STARS,Jojo Moyes,#10,"March 15, 2020",19
GOLDEN IN DEATH,J.D. Robb,#11,"March 15, 2020",4
THE TATTOOIST OF AUSCHWITZ,Heather Morris,#12,"March 15, 2020",66
SUCH A FUN AGE,Kiley Reid,#13,"March 15, 2020",9
THE OUTSIDER,Stephen King,#14,"March 15, 2020",18
CHASING CASSANDRA,Lisa Kleypas,#15,"March 15, 2020",2
ONE MINUTE OUT,Mark Greaney,#1,"March 8, 2020",New
AMERICAN DIRT,Jeanine Cummins,#2,"March 8, 2020",5
WHERE THE CRAWDADS SING,Delia Owens,#3,"March 8, 2020",76
LITTLE FIRES EVERYWHERE,Celeste Ng,#4,"March 8, 2020",54
CHASING CASSANDRA,Lisa Kleypas,#5,"March 8, 2020",New
THE SILENT PATIENT,Alex Michaelides,#6,"March 8, 2020",23
GOLDEN IN DEATH,J.D. Robb,#7,"March 8, 2020",3
THE DUTCH HOUSE,Ann Patchett,#8,"March 8, 2020",22
THE GIVER OF STARS,Jojo Moyes,#9,"March 8, 2020",18
THE TATTOOIST OF AUSCHWITZ,Heather Morris,#10,"March 8, 2020",65
THE GUARDIANS,John Grisham,#11,"March 8, 2020",19
THE OTHER MRS.,Mary Kubica,#12,"March 8, 2020",New
THE OUTSIDER,Stephen King,#13,"March 8, 2020",17
SUCH A FUN AGE,Kiley Reid,#14,"March 8, 2020",8
A LONG PETAL OF THE SEA,Isabel Allende,#15,"March 8, 2020",3
